"","agency_name"
"1","Abingdon Police Department"
"2","Accomack County Sheriff's Office"
"3","Albemarle - Charlottesville Regional Jail"
"4","Albemarle County Police Department"
"5","Albemarle County Sheriff`s Office"
"6","Alberta Police Department"
"7","Alexandria City Sheriff's Office"
"8","Alexandria Department Of Emergency Communications"
"9","Alexandria Police Department"
"10","Alleghany County Sheriff`s Office"
"11","Altavista Police Department"
"12","Amelia County Sheriff's Office"
"13","Amherst County Public Safety"
"14","Amherst County Sheriff's Office"
"15","Amherst Police Department"
"16","Appalachian Men`s Detention Center"
"17","Appomattox County 911"
"18","Appomattox County Sheriff`s Office"
"19","Aquia Harbour Police Department"
"20","Arlington County Emerg. Comm. Ctr."
"21","Arlington County Police Department"
"22","Arlington County Sheriff`s Office"
"23","Ashland Police Department"
"24","Augusta Correctional Center"
"25","Augusta County Emergency Operations Center"
"26","Augusta County Sheriff's Office"
"27","Baskerville Correctional Center"
"28","Bath County Sheriff's Office"
"29","Bedford Communication Center"
"30","Bedford County Sheriff's Office"
"31","Bedford Police Department"
"32","Berryville Police Department"
"33","Big Stone Gap Police Department"
"34","Blacksburg Police Department"
"35","Blackstone Police Department"
"36","Bland Correctional Center"
"37","Bland County Sheriff's Office"
"38","Bloxom Police Department"
"39","Blue Ridge Community College Pd"
"40","Blue Ridge Regional Jail Authority"
"41","Bluefield Police Department"
"42","Boones Mill Police Department"
"43","Botetourt County Sheriff`s Office"
"44","Bowling Green Police Department"
"45","Boydton Police Department"
"46","Boykins Police Department"
"47","Bridgewater Airpark Police Department"
"48","Bridgewater College Police Department"
"49","Bridgewater Police Department"
"50","Bristol City Sheriff's Office"
"51","Bristol Police Department"
"52","Broadway Police Department"
"53","Brodnax Police Department"
"54","Brookneal Police Department"
"55","Brunswick County Sheriff`s Office"
"56","Buchanan County Sheriff's Office"
"57","Buckingham Correctional Center"
"58","Buckingham County Sheriff`s Office"
"59","Buena Vista Police Department"
"60","Buena Vista Sheriff's Office"
"61","Burkeville Police Department"
"62","Bwxt Police Department"
"63","Campbell County Communications Center"
"64","Campbell County Sheriff's Office"
"65","Cape Charles Police Department"
"66","Cardinal Criminal Justice Academy"
"67","Carilion Clinic Police Department - Roanoke"
"68","Caroline Correctional Unit #02"
"69","Caroline County Sheriff's Office"
"70","Carroll County Sheriff's Office"
"71","Cedar Bluff Police Department"
"72","Central Shenandoah Criminal Justice Academy"
"73","Central Virginia Community College Pd"
"74","Central Virginia Correctional Unit #13"
"75","Central Virginia Criminal Justice Academy"
"76","Central Virginia Regional Jail"
"77","Ch`ville/uva/albemarle Emerg Comm Ctr"
"78","Charles City County Sheriff`s Office"
