"","agency"
"1","Hampton Police Department"
"2","Albemarle- Charlottseville Regional Jail"
"3","Longwood University Police Department & Drakes Branch Police Department"
"4","Arlington County Police Department"
"5","Powhatan Sheriff's Office"
"6","Emporia Police Department"
"7","York-Poquoson Sheriff's Office"
"8","Arlington County Sheriff's Office"
"9","Fairfax County Sheriff's Office"
"10","Virginia Marine Resources Commision"
"11","Radford Police Department"
"12","Wythe County Sheriff's Office"
"13","Portsmouth Police Department"
"14","Norfolk Sheriff's Office"
"15","Hampton Roads Regional Jail"
"16","Virginia Department of Wildlife Resources"
"17","Kingsmill Police Department"
"18","Chesapeake Police Department"
"19","Warrenton Police Department"
"20","Rappahannock Regional Jail"
"21","Roanoke City Police Department"
"22","Washington Metro Area Transit Police Dept."
"23","Suffolk Police Department"
"24","Lancaster County Sheriff's Office"
"25","Colonial Beach Police Department"
"26","Old Dominion University Police Department"
"27","Chesterfield Police Department"
"28","Chesterfield County Police Department"
"29","Hanover County Sheriff's Office"
"30","Norfolk Police Department"
"31","Faquier County Sheriff's Officer"
"32","Falls Church Police Department"
"33","Botetourt County Sheriff's Office"
"34","Fairfax County Police Department"
"35","Charlottesville Police Department"
"36","Pulaski County Sheriff's Office"
"37","Richmond City Police Department"
"38","Henrico County Police Department"
"39","Virginia Department of Motor Vehicles: Law Enforcement Division"
"40","Alexandria County Sheriff's Office"
"41","Richmond County Sheirff's Office"
"42","Prince Williams County Police Department"
"43","Spotsylvania County Sheriff's Office"
"44","Loudoun County Sheriff's Office"
"45","Virginia Beach Sheriff's Office"
"46","Bluefield Police Department"
"47","Alexandria Police Department"
"48","Virginia State Police"
"49","Henry County Sheriff's Office"
"50","Rappahannock, Shenandoah, Warren County Regional Jail"
"51","Accomack County Sheriff's Office"
"52","Middlesex County Sheriff's Office"
"53","Blue Ridge Regional Jail Authority"
"54","Herndon Police Department"
"55","Staunton City Sheriff's Office"
"56","Winchester Police Department"
"57","Danville Police Department"
"58","Newport News Police Department"
"59","Rocky Mount Police Department"
"60","Prince William County Sheriff's Office"
"61","Bedford County Sheriff's Office"
"62","Campbell County Sheriff's Office"
"63","Henrico County Sheriff's Office"
"64","Chesapeake City Sheriff's Office"
"65","Alexandria Sheriff's Office"
"66","Southampton County Sheriff's Office"
"67","Prince George County Police Department"
"68","Fairfax City Police Dapertment"
"69","Lynchburg Police Department"
"70","Chesterfield County Sheriff's Office"
"71","Piedmont Regional Jail"
"72","Virginia Alcoholic Beverage Control Authority Police Department"
"73","Roanoke County Police Department"
"74","Rappahannock, Shenandoah, Warren Regional Jail"
"75","Richmond Police Department"
"76","New Kent Sheriff's Office"
"77","Radford City Police Department"
"78","Leesburg Police Department"
"79","Warren County Sheriff's Office"
"80","Newport News Sheriff's Office"
"81","Hamptom Roads Regional Jail"
"82","Martinsville Police Department"
"83","Dinwiddie County Sheriff's Office"
"84","Northwestern Regional Adult Detention Center"
"85","Bedford Police Department"
"86","Prince William County Police Department"
"87","Piedmont Regional Jail Authority"
"88","Purceville Police Department"
"89","Smyth County Sheriff's Office"
"90","Buena Vista Police Department"
"91","Piedmont Virginia Community College Police Department"
"92","Stafford County Sheriff's Office"
"93","Fauquier County Sheriff's Office"
"94","Colonial Heights Police Department"
"95","Essex County Sheriff's Office"
"96","Shenandoah County Sheriff's Office"
"97","Tazewell County Sheriff's Office"
"98","Fauquier County Sheriff’s Office"
"99","Hamptin Roads Regional Jail"
"100","Riverside Regional Jail"
"101","Isle of Wight County Sheriff's Office"
"102","New River Valley Regional Jail"
"103","Albermarle-Charlottesville Regional Jail"
"104","Virginia Department of Motor Vehicles"
"105","Hampton Roadss Regional Jail"
"106","Petersburg Police Department"
"107","Virginia Beach Police Department"
"108","Aquia Harbor Police Department"
"109","Manassas Park Police Department"
"110","Appomattox County Sheriff's Office"
"111","Wise County Sheriff's Office"
"112","Augusta County Sheriff's Office"
"113","Newport News City Sheriff's Office"
"114","Rappahanock, Shenandoah, Warren Regional Jail"
"115","Western Tidewater Regional Jail"
"116","Amelia County Sheriff's Office"
"117","Roanoke City Sheriff's Office"
"118","Christiansburg Police Department"
"119","Virginia Commonwealth University Police Department"
"120","Newport News Cheriff's Office"
"121","Petersburg Bureau of Police"
"122","Amherst County Sheriff's Office"
"123","James City County Police Department"
"124","Culpeper Police Department"
"125","Luray Police Department"
"126","York- Poquoson Sheriff's Office"
