"","agency"
"1","Hampton Police Department"
"2","Albemarle- Charlottseville Regional Jail"
"3","Longwood University Police Department & Drakes Branch Police Department"
"4","Powhatan Sheriff's Office"
"5","York-Poquoson Sheriff's Office"
"6","Arlington County Sheriff's Office"
"7","Virginia Marine Resources Commision"
"8","Norfolk Sheriff's Office"
"9","Virginia Department of Wildlife Resources"
"10","Washington Metro Area Transit Police Dept."
"11","Lancaster County Sheriff's Office"
"12","Old Dominion University Police Department"
"13","Chesterfield Police Department"
"14","Faquier County Sheriff's Officer"
"15","Botetourt County Sheriff's Office"
"16","Richmond City Police Department"
"17","Henrico County Police Department"
"18","Virginia Department of Motor Vehicles: Law Enforcement Division"
"19","Alexandria County Sheriff's Office"
"20","Richmond County Sheirff's Office"
"21","Prince Williams County Police Department"
"22","Spotsylvania County Sheriff's Office"
"23","Virginia Beach Sheriff's Office"
"24","Rappahannock, Shenandoah, Warren County Regional Jail"
"25","Middlesex County Sheriff's Office"
"26","Prince William County Sheriff's Office"
"27","Alexandria Sheriff's Office"
"28","Southampton County Sheriff's Office"
"29","Fairfax City Police Dapertment"
"30","Chesterfield County Sheriff's Office"
"31","Piedmont Regional Jail"
"32","Virginia Alcoholic Beverage Control Authority Police Department"
"33","New Kent Sheriff's Office"
"34","Radford City Police Department"
"35","Newport News Sheriff's Office"
"36","Hamptom Roads Regional Jail"
"37","Dinwiddie County Sheriff's Office"
"38","Purceville Police Department"
"39","Piedmont Virginia Community College Police Department"
"40","Essex County Sheriff's Office"
"41","Shenandoah County Sheriff's Office"
"42","Fauquier County Sheriff<U+0092>s Office"
"43","Hamptin Roads Regional Jail"
"44","Isle of Wight County Sheriff's Office"
"45","Albermarle-Charlottesville Regional Jail"
"46","Virginia Department of Motor Vehicles"
"47","Hampton Roadss Regional Jail"
"48","Aquia Harbor Police Department"
"49","Manassas Park Police Department"
"50","Appomattox County Sheriff's Office"
"51","Newport News City Sheriff's Office"
"52","Rappahanock, Shenandoah, Warren Regional Jail"
"53","Virginia Commonwealth University Police Department"
"54","Newport News Cheriff's Office"
"55","Petersburg Bureau of Police"
"56","York- Poquoson Sheriff's Office"
