"","agency"
"1","Department of State Police"
"2","Waverly Police Department"
"3","Chesapeake City Police Department"
"4","Lynchburg City Police Department"
"5","Salem City Police Department"
"6","Roanoke Police Department"
"7","Richmond City Police Department"
"8","Washington Metro Area Transit Police Dept."
"9","Norfolk City Police Department"
"10","Chesterfield County Sheriff's Office"
"11","Goochland County Sheriff's Office"
"12","Virginia Port Authority Police Department"
"13","Northampton County Sheriff's Office"
"14","Pittsylvania County Sheriff's Office"
"15","Virginia Department of Wildlife Resources"
